Class,U-Net,FPN,PSPNet,DeepLabV3+,Linknet
Sky,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.042355075,0.0,1.772264e-05
Pole,0.164335,0.12600039,0.1570092,0.1265662,6.666667e-05
Road,0.0,0.0,0.0,0.0,0.0
Pavement,0.74719,0.71841025,0.71052396,0.72188085,0.72247726
Tree,0.5514282,0.5596971,0.52090687,0.5345581,0.063036606
SignSymbol,0.0,0.0,0.009767695,0.0,0.0
Fence,0.0,0.08239186,0.08230232,0.0,0.0
Car,0.0015584704,0.051709525,0.052622557,0.013947955,0.0
Pedestrian,0.22313118,0.21206428,0.23675874,0.18022908,0.047828767
Bicyclist,0.49805164,0.3541346,0.29319862,0.39648208,0.04543278
Void,0.0,0.0,0.0,0.0,0.0
Bridge,0.0012307711,0.12801579,0.12387519,0.011975606,9.90099e-05
Tunnel,0.0,0.0,0.0013892215,0.0,6.756757e-05
Wall,0.16363116,0.15767689,0.12329953,0.13361195,0.0012984917
LaneMkgsDriv,0.0,0.0,0.06922599,0.0006547619,0.0
LaneMkgsNonDriv,0.24471228,0.0,0.21205345,0.1859956,0.0
MiscText,0.88962203,0.8758192,0.87176627,0.8756147,0.4224505
TrafficCone,0.0,0.0,0.049350794,0.0,0.0
TrafficLight,0.64361274,0.5823606,0.5882339,0.5826212,0.004755969
Animal,0.0,0.027025389,0.045394618,0.0,0.0
Bicycle,0.9011559,0.8780211,0.87249184,0.88924253,0.87698126
Motorcycle,0.10664928,0.10865305,0.1363213,0.09417296,0.00078346103
Bus,0.0,0.0,0.0,0.0,0.0
Caravan,0.19211887,0.0,0.24794517,0.20848769,0.0
Other,0.0,0.0,0.0,0.0,0.0
Person,0.6189661,0.5982225,0.58891064,0.56795114,0.46429226
RoadShoulder,0.13268651,0.13009302,0.13075079,0.061288927,0.0
Sidewalk,0.0,0.0,0.0,0.0,0.0
Terrain,0.120859325,0.15025325,0.17481709,0.15192851,0.0
Vegetation,0.16459343,0.12810014,0.16193232,0.15233856,0.0005325885
Water,0.3296501,0.32193518,0.2978209,0.2776845,0.0
